Year,Race,Sex,Average Life Expectancy (Years),Age-adjusted Death Rate
2015,All Races,Both Sexes,,733.1
2014,All Races,Both Sexes,78.9,724.6
2013,All Races,Both Sexes,78.8,731.9
2012,All Races,Both Sexes,78.8,732.8
2011,All Races,Both Sexes,78.7,741.3
2010,All Races,Both Sexes,78.7,747.0
2009,All Races,Both Sexes,78.5,749.6
2008,All Races,Both Sexes,78.2,774.9
2007,All Races,Both Sexes,78.1,775.3
2006,All Races,Both Sexes,77.8,791.8
2005,All Races,Both Sexes,77.6,815.0
2004,All Races,Both Sexes,77.5,813.7
2003,All Races,Both Sexes,77.6,843.5
2002,All Races,Both Sexes,77.0,855.9
2001,All Races,Both Sexes,77.0,858.8
2000,All Races,Both Sexes,76.8,869.0
1999,All Races,Both Sexes,76.7,875.6
1998,All Races,Both Sexes,76.7,870.1
1997,All Races,Both Sexes,76.5,877.7
1996,All Races,Both Sexes,76.1,893.7
1995,All Races,Both Sexes,75.8,909.5
1994,All Races,Both Sexes,75.7,913.2
1993,All Races,Both Sexes,75.5,925.8
1992,All Races,Both Sexes,75.8,905.3
1991,All Races,Both Sexes,75.5,921.9
1990,All Races,Both Sexes,75.4,938.0
1989,All Races,Both Sexes,75.1,949.9
1988,All Races,Both Sexes,74.9,975.1
1987,All Races,Both Sexes,74.9,969.6
1986,All Races,Both Sexes,74.7,978.4
1985,All Races,Both Sexes,74.7,987.8
1984,All Races,Both Sexes,74.7,982.1
1983,All Races,Both Sexes,74.6,990.0
1982,All Races,Both Sexes,74.5,984.9
1981,All Races,Both Sexes,74.1,1007.0
1980,All Races,Both Sexes,73.7,1038.7
1979,All Races,Both Sexes,73.9,1010.6
1978,All Races,Both Sexes,73.5,1043.7
1977,All Races,Both Sexes,73.3,1051.6
1976,All Races,Both Sexes,72.9,1084.1
1975,All Races,Both Sexes,72.6,1094.4
1974,All Races,Both Sexes,72.0,1151.8
1973,All Races,Both Sexes,71.4,1201.2
1972,All Races,Both Sexes,71.2,1214.8
1971,All Races,Both Sexes,71.1,1213.1
1970,All Races,Both Sexes,70.8,1222.6
1969,All Races,Both Sexes,70.5,1271.8
1968,All Races,Both Sexes,70.2,1304.5
1967,All Races,Both Sexes,70.5,1274.0
1966,All Races,Both Sexes,70.2,1309.0
1965,All Races,Both Sexes,70.2,1306.5
1964,All Races,Both Sexes,70.2,1303.8
1963,All Races,Both Sexes,69.9,1346.3
1962,All Races,Both Sexes,70.1,1323.6
1961,All Races,Both Sexes,70.2,1298.8
1960,All Races,Both Sexes,69.7,1339.2
1959,All Races,Both Sexes,69.9,1317.3
1958,All Races,Both Sexes,69.6,1343.4
1957,All Races,Both Sexes,69.5,1356.7
1956,All Races,Both Sexes,69.7,1333.7
1955,All Races,Both Sexes,69.6,1332.3
1954,All Races,Both Sexes,69.6,1314.8
1953,All Races,Both Sexes,68.8,1385.6
1952,All Races,Both Sexes,68.6,1394.6
1951,All Races,Both Sexes,68.4,1423.5
1950,All Races,Both Sexes,68.2,1446.0
1949,All Races,Both Sexes,68.0,1457.3
1948,All Races,Both Sexes,67.2,1501.7
1947,All Races,Both Sexes,66.8,1532.0
1946,All Races,Both Sexes,66.7,1529.7
1945,All Races,Both Sexes,65.9,1575.4
1944,All Races,Both Sexes,65.2,1618.5
1943,All Races,Both Sexes,63.3,1702.4
1942,All Races,Both Sexes,66.2,1635.8
1941,All Races,Both Sexes,64.8,1694.6
1940,All Races,Both Sexes,62.9,1785.0
1939,All Races,Both Sexes,63.7,1766.9
1938,All Races,Both Sexes,63.5,1764.3
1937,All Races,Both Sexes,60.0,1882.6
1936,All Races,Both Sexes,58.5,1963.7
1935,All Races,Both Sexes,61.7,1860.1
1934,All Races,Both Sexes,61.1,1888.2
1933,All Races,Both Sexes,63.3,1850.1
1932,All Races,Both Sexes,62.1,1897.1
1931,All Races,Both Sexes,61.1,1895.1
1930,All Races,Both Sexes,59.7,1943.8
1929,All Races,Both Sexes,57.1,2081.2
1928,All Races,Both Sexes,56.8,2124.6
1927,All Races,Both Sexes,60.4,1989.5
1926,All Races,Both Sexes,56.7,2146.2
1925,All Races,Both Sexes,59.0,2068.7
1924,All Races,Both Sexes,59.7,2038.0
1923,All Races,Both Sexes,57.2,2141.4
1922,All Races,Both Sexes,59.6,2049.5
1921,All Races,Both Sexes,60.8,1958.2
1920,All Races,Both Sexes,54.1,2147.1
1919,All Races,Both Sexes,54.7,2057.2
1918,All Races,Both Sexes,39.1,2541.6
1917,All Races,Both Sexes,50.9,2275.9
1916,All Races,Both Sexes,51.7,2266.6
1915,All Races,Both Sexes,54.5,2174.8
1914,All Races,Both Sexes,54.2,2149.3
1913,All Races,Both Sexes,52.5,2206.5
1912,All Races,Both Sexes,53.5,2211.7
1911,All Races,Both Sexes,52.6,2245.4
1910,All Races,Both Sexes,50.0,2317.2
1909,All Races,Both Sexes,52.1,2249.2
1908,All Races,Both Sexes,51.1,2298.9
1907,All Races,Both Sexes,47.6,2494.4
1906,All Races,Both Sexes,48.7,2399.0
1905,All Races,Both Sexes,48.7,2423.7
1904,All Races,Both Sexes,47.6,2502.5
1903,All Races,Both Sexes,50.5,2379.0
1902,All Races,Both Sexes,51.5,2301.3
1901,All Races,Both Sexes,49.1,2473.1
1900,All Races,Both Sexes,47.3,2518.0
2015,All Races,Female,,624.2
2014,All Races,Female,81.3,616.7
2013,All Races,Female,81.2,623.5
2012,All Races,Female,81.2,624.7
2011,All Races,Female,81.1,632.4
2010,All Races,Female,81.0,634.9
2009,All Races,Female,80.9,636.8
2008,All Races,Female,80.6,660.0
2007,All Races,Female,80.6,658.1
2006,All Races,Female,80.3,672.2
2005,All Races,Female,80.1,692.3
2004,All Races,Female,80.1,690.5
2003,All Races,Female,79.7,715.2
2002,All Races,Female,79.6,723.6
2001,All Races,Female,79.5,725.6
2000,All Races,Female,79.7,731.4
1999,All Races,Female,79.4,734.0
1998,All Races,Female,79.5,724.2
1997,All Races,Female,79.4,725.3
1996,All Races,Female,79.1,732.7
1995,All Races,Female,78.9,739.2
1994,All Races,Female,79.0,738.3
1993,All Races,Female,78.8,745.6
1992,All Races,Female,79.1,725.3
1991,All Races,Female,78.9,737.9
1990,All Races,Female,78.8,750.3
1989,All Races,Female,78.5,761.3
1988,All Races,Female,78.3,780.5
1987,All Races,Female,78.3,773.8
1986,All Races,Female,78.2,778.5
1985,All Races,Female,78.2,784.2
1984,All Races,Female,78.2,779.4
1983,All Races,Female,78.1,783.3
1982,All Races,Female,78.1,776.4
1981,All Races,Female,77.8,792.7
1980,All Races,Female,77.4,817.7
1979,All Races,Female,77.8,789.9
1978,All Races,Female,77.3,816.4
1977,All Races,Female,77.2,820.7
1976,All Races,Female,76.8,849.4
1975,All Races,Female,76.6,855.1
1974,All Races,Female,75.9,907.5
1973,All Races,Female,75.3,947.8
1972,All Races,Female,75.1,958.7
1971,All Races,Female,75.0,960.6
1970,All Races,Female,74.7,971.4
1969,All Races,Female,74.4,1013.4
1968,All Races,Female,74.1,1043.5
1967,All Races,Female,74.3,1020.5
1966,All Races,Female,73.9,1055.3
1965,All Races,Female,73.8,1056.1
1964,All Races,Female,73.7,1061.5
1963,All Races,Female,73.4,1098.5
1962,All Races,Female,73.5,1087.1
1961,All Races,Female,73.6,1068.5
1960,All Races,Female,73.1,1105.3
1959,All Races,Female,73.2,1093.5
1958,All Races,Female,72.9,1120.9
1957,All Races,Female,72.7,1134.5
1956,All Races,Female,72.9,1117.5
1955,All Races,Female,72.8,1121.9
1954,All Races,Female,72.8,1109.7
1953,All Races,Female,72.0,1172.6
1952,All Races,Female,71.6,1186.7
1951,All Races,Female,71.4,1213.4
1950,All Races,Female,71.1,1236.0
1949,All Races,Female,70.7,1252.6
1948,All Races,Female,69.9,1296.4
1947,All Races,Female,69.7,1332.5
1946,All Races,Female,69.4,1342.8
1945,All Races,Female,67.9,1376.8
1944,All Races,Female,66.8,1428.4
1943,All Races,Female,64.4,1507.8
1942,All Races,Female,67.9,1444.7
1941,All Races,Female,66.8,1502.4
1940,All Races,Female,65.2,1599.4
1939,All Races,Female,65.4,1599.8
1938,All Races,Female,65.3,1599.1
1937,All Races,Female,62.4,1695.1
1936,All Races,Female,60.6,1780.6
1935,All Races,Female,63.9,1690.6
1934,All Races,Female,63.3,1720.7
1933,All Races,Female,65.1,1699.1
1932,All Races,Female,63.5,1758.4
1931,All Races,Female,63.1,1743.6
1930,All Races,Female,61.6,1798.3
1929,All Races,Female,58.7,1940.9
1928,All Races,Female,58.3,1990.5
1927,All Races,Female,62.1,1863.8
1926,All Races,Female,58.0,2028.0
1925,All Races,Female,60.6,1957.1
1924,All Races,Female,61.5,1927.2
1923,All Races,Female,58.5,2050.5
1922,All Races,Female,61.0,1965.1
1921,All Races,Female,61.8,1890.4
1920,All Races,Female,54.6,2081.3
1919,All Races,Female,56.0,1973.1
1918,All Races,Female,42.2,2342.8
1917,All Races,Female,54.0,2119.9
1916,All Races,Female,54.3,2123.3
1915,All Races,Female,56.8,2044.3
1914,All Races,Female,56.8,2009.0
1913,All Races,Female,55.0,2058.1
1912,All Races,Female,55.9,2067.2
1911,All Races,Female,54.4,2112.1
1910,All Races,Female,51.8,2171.3
1909,All Races,Female,53.8,2111.5
1908,All Races,Female,52.8,2162.3
1907,All Races,Female,49.9,2327.3
1906,All Races,Female,50.8,2244.6
1905,All Races,Female,50.2,2287.7
1904,All Races,Female,49.1,2358.8
1903,All Races,Female,52.0,2250.6
1902,All Races,Female,53.4,2162.8
1901,All Races,Female,50.6,2350.5
1900,All Races,Female,48.3,2410.4
2015,All Races,Male,,863.2
2014,All Races,Male,76.5,855.1
2013,All Races,Male,76.4,863.6
2012,All Races,Male,76.4,865.1
2011,All Races,Male,76.3,875.3
2010,All Races,Male,76.2,887.1
2009,All Races,Male,76.0,890.9
2008,All Races,Male,75.6,918.8
2007,All Races,Male,75.5,922.9
2006,All Races,Male,75.2,943.4
2005,All Races,Male,75.0,971.9
2004,All Races,Male,75.0,973.3
2003,All Races,Male,74.5,1010.3
2002,All Races,Male,74.4,1030.6
2001,All Races,Male,74.3,1035.3
2000,All Races,Male,74.3,1053.8
1999,All Races,Male,73.9,1067.0
1998,All Races,Male,73.8,1068.9
1997,All Races,Male,73.6,1087.7
1996,All Races,Male,73.1,1115.2
1995,All Races,Male,72.5,1143.6
1994,All Races,Male,72.4,1155.1
1993,All Races,Male,72.2,1177.0
1992,All Races,Male,72.3,1158.0
1991,All Races,Male,72.0,1180.2
1990,All Races,Male,71.8,1202.0
1989,All Races,Male,71.7,1214.2
1988,All Races,Male,71.4,1250.0
1987,All Races,Male,71.4,1245.7
1986,All Races,Male,71.2,1261.5
1985,All Races,Male,71.1,1277.6
1984,All Races,Male,71.1,1271.0
1983,All Races,Male,71.0,1284.4
1982,All Races,Male,70.8,1279.9
1981,All Races,Male,70.4,1308.2
1980,All Races,Male,70.0,1347.6
1979,All Races,Male,70.0,1316.2
1978,All Races,Male,69.6,1358.1
1977,All Races,Male,69.5,1369.3
1976,All Races,Male,69.1,1404.3
1975,All Races,Male,68.8,1417.4
1974,All Races,Male,68.2,1478.5
1973,All Races,Male,67.6,1537.5
1972,All Races,Male,67.4,1551.1
1971,All Races,Male,67.4,1542.5
1970,All Races,Male,67.1,1542.1
1969,All Races,Male,66.8,1601.4
1968,All Races,Male,66.6,1635.2
1967,All Races,Male,67.0,1591.8
1966,All Races,Male,66.7,1624.2
1965,All Races,Male,66.8,1614.3
1964,All Races,Male,66.8,1597.0
1963,All Races,Male,66.6,1644.0
1962,All Races,Male,66.9,1604.4
1961,All Races,Male,67.1,1567.6
1960,All Races,Male,66.6,1609.0
1959,All Races,Male,66.8,1573.4
1958,All Races,Male,66.6,1596.3
1957,All Races,Male,66.4,1606.7
1956,All Races,Male,66.7,1575.5
1955,All Races,Male,66.7,1565.2
1954,All Races,Male,66.7,1540.7
1953,All Races,Male,66.0,1619.0
1952,All Races,Male,65.8,1620.8
1951,All Races,Male,65.6,1651.7
1950,All Races,Male,65.6,1674.2
1949,All Races,Male,65.2,1676.7
1948,All Races,Male,64.6,1720.5
1947,All Races,Male,64.4,1743.0
1946,All Races,Male,64.4,1727.6
1945,All Races,Male,63.6,1791.6
1944,All Races,Male,63.6,1821.6
1943,All Races,Male,62.4,1907.7
1942,All Races,Male,64.7,1835.1
1941,All Races,Male,63.1,1894.3
1940,All Races,Male,60.8,1976.0
1939,All Races,Male,62.1,1937.2
1938,All Races,Male,61.9,1932.4
1937,All Races,Male,58.0,2072.8
1936,All Races,Male,56.6,2148.5
1935,All Races,Male,59.9,2031.2
1934,All Races,Male,59.3,2056.7
1933,All Races,Male,61.7,2002.0
1932,All Races,Male,61.0,2036.4
1931,All Races,Male,59.4,2047.4
1930,All Races,Male,58.1,2088.8
1929,All Races,Male,55.8,2219.7
1928,All Races,Male,55.6,2256.3
1927,All Races,Male,59.0,2113.8
1926,All Races,Male,55.5,2262.2
1925,All Races,Male,57.6,2178.0
1924,All Races,Male,58.1,2146.9
1923,All Races,Male,56.1,2229.5
1922,All Races,Male,58.4,2131.8
1921,All Races,Male,60.0,2025.0
1920,All Races,Male,53.6,2213.2
1919,All Races,Male,53.5,2141.5
1918,All Races,Male,36.6,2740.5
1917,All Races,Male,48.4,2427.8
1916,All Races,Male,49.6,2406.2
1915,All Races,Male,52.5,2302.6
1914,All Races,Male,52.0,2286.1
1913,All Races,Male,50.3,2351.2
1912,All Races,Male,51.5,2352.8
1911,All Races,Male,50.9,2374.5
1910,All Races,Male,48.4,2459.9
1909,All Races,Male,50.5,2385.7
1908,All Races,Male,49.5,2433.4
1907,All Races,Male,45.6,2660.3
1906,All Races,Male,46.9,2553.6
1905,All Races,Male,47.3,2565.5
1904,All Races,Male,46.2,2652.9
1903,All Races,Male,49.1,2513.5
1902,All Races,Male,49.8,2447.9
1901,All Races,Male,47.6,2600.5
1900,All Races,Male,46.3,2630.8